0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.078509823846372284e-03,-2.121797047156009919e-03,-2.166905097599064467e-03,-2.213949950668051003e-03,-2.263057518523070577e-03,-2.314364722733913693e-03,-2.368020706944751197e-03,-2.424188210863986725e-03,-2.483045130733996242e-03,-2.544786295927997655e-03,-2.609625496713202653e-03,-2.677797804713222263e-03,-2.749562235442370994e-03,-2.825204811778891933e-03,-2.905042098776344783e-03,-2.989425294252723297e-03,-3.078744976749370199e-03,-3.173436633448545319e-03,-3.273987116414578402e-03,-3.380942207229620244e-03,-3.494915509174467694e-03,-3.616598934337467153e-03,-3.746775112616729242e-03,-3.886332123183233733e-03,-4.036281039797029457e-03,-4.197776893140714449e-03,-4.372143790245086592e-03,-4.560905097446887879e-03,-4.765819792981407232e-03,-4.988926330299126022e-03,-5.232595621214253256e-03,-5.499595037979143619e-03,-5.793165617622775265e-03,-6.117114872737472453e-03,-6.475927661020564052e-03,-6.874897246163191866e-03,-7.320277664026875186e-03,-7.819456257076251582e-03,-8.381140950818322111e-03,-9.015549410648415751e-03,-9.734575348705365450e-03,-1.055188998115408339e-02,-1.148291454843242132e-02,-1.254457730815050631e-02,-1.375475670764503278e-02,-1.513133105458308592e-02,-1.669082658445031342e-02,-1.844678870545524152e-02,-2.040816326530614511e-02,nan
-8.231014263857763802e-03,-8.395553786281317876e-03,-8.566522627688533120e-03,-8.744287580490173184e-03,-8.929242404642767639e-03,-9.121810194893748003e-03,-9.322445981155197403e-03,-9.531639585962703443e-03,-9.749918765201426307e-03,-9.977852660598252044e-03,-1.021605559483057535e-02,-1.046519124242845100e-02,-1.072597721184037622e-02,-1.099919007595812070e-02,-1.128567088985710232e-02,-1.158633123524555053e-02,-1.190215983077375084e-02,-1.223422974547488939e-02,-1.258370624858562437e-02,-1.295185532204123913e-02,-1.334005285107642269e-02,-1.374979449232638373e-02,-1.418270619608369421e-02,-1.464055532805386139e-02,-1.512526229385990906e-02,-1.563891251415250316e-02,-1.618376852671876698e-02,-1.676228190163664422e-02,-1.737710454370366975e-02,-1.803109882129694252e-02,-1.872734580222401579e-02,-1.946915069741084192e-02,-2.026004441893103358e-02,-2.110377996230805575e-02,-2.200432214436287559e-02,-2.296582909686473162e-02,-2.399262387286416054e-02,-2.508915461630101262e-02,-2.625994203108128477e-02,-2.750951341529006555e-02,-2.884232333560765582e-02,-3.026266210916617183e-02,-3.177455458594213855e-02,-3.338165316890073786e-02,-3.508713038698529907e-02,-3.689357741091037202e-02,-3.880291542434965990e-02,-4.081632653061229021e-02,nan,nan
-1.801648446472850496e-02,-1.835134461821237573e-02,-1.869780605804194362e-02,-1.905642342703153802e-02,-1.942778298306183093e-02,-1.981250448190727265e-02,-2.021124314909752973e-02,-2.062469173848957560e-02,-2.105358267341639333e-02,-2.149869026406753258e-02,-2.196083299208068107e-02,-2.244087585010962060e-02,-2.293973272031574195e-02,-2.345836877122875475e-02,-2.399780284716174217e-02,-2.455910981828063333e-02,-2.514342285245496633e-02,-2.575193556211569090e-02,-2.638590397050488701e-02,-2.704664823194541379e-02,-2.773555403017591292e-02,-2.845407356753598682e-02,-2.920372604611609635e-02,-2.998609753026304503e-02,-3.080284006858136081e-02,-3.165566994346213914e-02,-3.254636490806939175e-02,-3.347676026565538088e-02,-3.444874364529715294e-02,-3.546424833302364021e-02,-3.652524502930043493e-02,-3.763373192445151894e-02,-3.879172301415612090e-02,-4.000123461872329145e-02,-4.126427012293509833e-02,-4.258280301767780607e-02,-4.395875839914165084e-02,-4.539399316374925775e-02,-4.689027522351829624e-02,-4.844926215241063261e-02,-5.007247975335116230e-02,-5.176130110134213869e-02,-5.351692666357321659e-02,-5.534036611636561354e-02,-5.723242246629789420e-02,-5.919367903620020854e-02,-6.122448979591843532e-02,nan,nan,nan
-3.075666476243620051e-02,-3.127782502830496469e-02,-3.181458228074049432e-02,-3.236753705343753396e-02,-3.293731424236318039e-02,-3.352456380327331620e-02,-3.412996141348687007e-02,-3.475420908740733950e-02,-3.539803573394667557e-02,-3.606219764259388505e-02,-3.674747888337925872e-02,-3.745469160444814261e-02,-3.818467620938043039e-02,-3.893830139482146180e-02,-3.971646402745099280e-02,-4.052008883786217819e-02,-4.135012790761394275e-02,-4.220755992461611150e-02,-4.309338918119148820e-02,-4.400864428872558465e-02,-4.495437658285006410e-02,-4.593165819372946324e-02,-4.694157975733692645e-02,-4.798524774572843210e-02,-4.906378139736644606e-02,-5.017830923260202525e-02,-5.132996514458298964e-02,-5.251988406216256955e-02,-5.374919718886406184e-02,-5.501902683058002008e-02,-5.633048083435898690e-02,-5.768464667121542266e-02,-5.908258520716491713e-02,-6.052532421833223264e-02,-6.201385171764695059e-02,-6.354910917188416608e-02,-6.513198469814807101e-02,-6.676330633780147572e-02,-6.844383551280985856e-02,-7.017426077397048712e-02,-7.195519195212329855e-02,-7.378715482182074403e-02,-7.567058638188361996e-02,-7.760583084869943082e-02,-7.959313644617649341e-02,-8.163265306122458043e-02,nan,nan,nan,nan
-4.576086813960089650e-02,-4.646140198327138038e-02,-4.717988100823131137e-02,-4.791685213071969485e-02,-4.867287674352691051e-02,-4.944853064479540206e-02,-5.024440390534087864e-02,-5.106110066823277283e-02,-5.189923887414127357e-02,-5.275944990577013938e-02,-5.364237814456801479e-02,-5.454868043285276968e-02,-5.547902543451199708e-02,-5.643409288757139652e-02,-5.741457274216177353e-02,-5.842116417779208426e-02,-5.945457449434748964e-02,-6.051551787191389309e-02,-6.160471399537331694e-02,-6.272288654075247605e-02,-6.387076152152820763e-02,-6.504906549451505704e-02,-6.625852362658268824e-02,-6.749985762525256838e-02,-6.877378353822505286e-02,-7.008100942902995012e-02,-7.142223293829119690e-02,-7.279813874248364236e-02,-7.420939592451303302e-02,-7.565665527291554060e-02,-7.714054652888435726e-02,-7.866167560264947234e-02,-8.022062178285227496e-02,-8.181793496445133318e-02,-8.345413292225190016e-02,-8.512969865832820116e-02,-8.684507785233108734e-02,-8.860067644388980312e-02,-9.039685837598798734e-02,-9.223394352727598555e-02,-9.411220585978208319e-02,-9.603187180639694009e-02,-9.799311891985018619e-02,-9.999607480173688945e-02,-1.020408163265307255e-01,nan,nan,nan,nan,nan
-6.244926876033023155e-02,-6.331133988692416725e-02,-6.419234175484622718e-02,-6.509272981613883902e-02,-6.601296643308846024e-02,-6.695352053131065073e-02,-6.791486720762152096e-02,-6.889748729059416710e-02,-6.990186685181901116e-02,-7.092849666604733594e-02,-7.197787161859270366e-02,-7.305049005860109190e-02,-7.414685309708024530e-02,-7.526746384890303787e-02,-7.641282661836773515e-02,-7.758344602831229730e-02,-7.877982609324390983e-02,-8.000246923744647187e-02,-8.125187525957994206e-02,-8.252854024587014115e-02,-8.383295543461188881e-02,-8.516560603535561214e-02,-8.652697000682307849e-02,-8.791751679828341270e-02,-8.933770605980650981e-02,-9.078798632749851549e-02,-9.226879369048490709e-02,-9.378055044703670351e-02,-9.532366375782630463e-02,-9.689852430482126522e-02,-9.850550496478283069e-02,-1.001449595067022136e-01,-1.018172213227765965e-01,-1.035226022026843884e-01,-1.052613911609558972e-01,-1.070338533271466552e-01,-1.088402289082878172e-01,-1.106807322327311160e-01,-1.125555508839959362e-01,-1.144648449325957884e-01,-1.164087462730490907e-01,-1.183873580724004171e-01,-1.204007543355778420e-01,-1.224489795918367596e-01,nan,nan,nan,nan,nan,nan
-8.038040183902657454e-02,-8.138320550615837923e-02,-8.240502041612027262e-02,-8.344620956507828313e-02,-8.450713825192046613e-02,-8.558817371008586861e-02,-8.668968471359683736e-02,-8.781204115705351643e-02,-8.895561360947962237e-02,-9.012077284205632921e-02,-9.130788932993716411e-02,-9.251733272851175860e-02,-9.374947132466815436e-02,-9.500467146380031647e-02,-9.628329695351517392e-02,-9.758570844520758625e-02,-9.891226279489701012e-02,-1.002633124049479574e-01,-1.016392045485318141e-01,-1.030402806789189052e-01,-1.044668757259275549e-01,-1.059193173820816014e-01,-1.073979253812530343e-01,-1.089030107727763097e-01,-1.104348751942170193e-01,-1.119938101461598334e-01,-1.135800962725358465e-01,-1.151940026501473424e-01,-1.168357860911526380e-01,-1.185056904623489338e-01,-1.202039460251360659e-01,-1.219307688000484946e-01,-1.236863599597129992e-01,-1.254709052540182723e-01,-1.272845744711745830e-01,-1.291275209381863576e-01,-1.309998810640743416e-01,-1.329017739289530819e-01,-1.348333009217997924e-01,-1.367945454294549057e-01,-1.387855725790556605e-01,-1.408064290357493586e-01,-1.428571428571429047e-01,nan,nan,nan,nan,nan,nan,nan
-9.923295050180194754e-02,-1.003566184652040505e-01,-1.014988504329517871e-01,-1.026599302891661458e-01,-1.038401417629837842e-01,-1.050397681243251391e-01,-1.062590918667528084e-01,-1.074983943777281792e-01,-1.087579555966522449e-01,-1.100380536611602067e-01,-1.113389645422256935e-01,-1.126609616687180293e-01,-1.140043155421484045e-01,-1.153692933424308453e-01,-1.167561585255759704e-01,-1.181651704143298343e-01,-1.195965837828579237e-01,-1.210506484366646318e-01,-1.225276087890266319e-01,-1.240277034352940122e-01,-1.255511647264980768e-01,-1.270982183437683877e-01,-1.286690828751287374e-01,-1.302639693962960310e-01,-1.318830810571535173e-01,-1.335266126756029514e-01,-1.351947503405289686e-01,-1.368876710256197171e-01,-1.386055422157902450e-01,-1.403485215479411963e-01,-1.421167564677620065e-01,-1.439103839042464861e-01,-1.457295299635366082e-01,-1.475743096436414881e-01,-1.494448265715011548e-01,-1.513411727637672399e-01,-1.532634284125664603e-01,-1.552116616973988616e-01,-1.571859286241861220e-01,-1.591862728923529868e-01,-1.612127257906718070e-01,-1.632653061224490498e-01,nan,nan,nan,nan,nan,nan,nan,nan
-1.187766464135959626e-01,-1.200037038561696939e-01,-1.212486033317668466e-01,-1.225115656674438946e-01,-1.237928103688051840e-01,-1.250925553910551824e-01,-1.264110169042386156e-01,-1.277484090530333627e-01,-1.291049437115004972e-01,-1.304808302332384207e-01,-1.318762751974252301e-01,-1.332914821512767856e-01,-1.347266513494864149e-01,-1.361819794912477732e-01,-1.376576594555048438e-01,-1.391538800351033167e-01,-1.406708256705549442e-01,-1.422086761841536151e-01,-1.437676065152150851e-01,-1.453477864572318423e-01,-1.469493803977616753e-01,-1.485725470618809996e-01,-1.502174392600533204e-01,-1.518842036412677565e-01,-1.535729804523098263e-01,-1.552839033040265271e-01,-1.570170989454410249e-01,-1.587726870465622220e-01,-1.605507799907197608e-01,-1.623514826772319841e-01,-1.641748923351884493e-01,-1.660210983490967296e-01,-1.678901820971046011e-01,-1.697822168024695211e-01,-1.716972673988934606e-01,-1.736353904102985179e-01,-1.755966338455521303e-01,-1.775810371086006256e-01,-1.795886309243979184e-01,-1.816194372809531998e-01,-1.836734693877551949e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.388463802205212871e-01,-1.401620188580599002e-01,-1.414946567096105334e-01,-1.428444658765823383e-01,-1.442116166780385011e-01,-1.455962774849671459e-01,-1.469986145523082544e-01,-1.484187918490262326e-01,-1.498569708865390149e-01,-1.513133105458308592e-01,-1.527879669035951404e-01,-1.542810930577687145e-01,-1.557928389528364654e-01,-1.573233512052991112e-01,-1.588727729297105262e-01,-1.604412435657045499e-01,-1.620288987064396613e-01,-1.636358699289024998e-01,-1.652622846265158207e-01,-1.669082658445036893e-01,-1.685739321184714923e-01,-1.702593973166565133e-01,-1.719647704863098148e-01,-1.736901557046620637e-01,-1.754356519349264953e-01,-1.772013528877794952e-01,-1.789873468887553942e-01,-1.807937167519759747e-01,-1.826205396606241926e-01,-1.844678870545517491e-01,-1.863358245253976531e-01,-1.882244117195640554e-01,-1.901337022493861939e-01,-1.920637436127938802e-01,-1.940145771217486326e-01,-1.959862378397004834e-01,-1.979787545282892802e-01,-1.999921496034736679e-01,-2.020264391012471794e-01,-2.040816326530613400e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.593227099730504248e-01,-1.607145808127087849e-01,-1.621225754641250349e-01,-1.635468288111260327e-01,-1.649874738558365084e-01,-1.664446416004139728e-01,-1.679184609282216023e-01,-1.694090584846439929e-01,-1.709165585577590019e-01,-1.724410829590891092e-01,-1.739827509046585341e-01,-1.755416788965933894e-01,-1.771179806055039885e-01,-1.787117667538966059e-01,-1.803231450008637715e-01,-1.819522198283080594e-01,-1.835990924289540582e-01,-1.852638605964085916e-01,-1.869466186175263722e-01,-1.886474571673396050e-01,-1.903664632068104989e-01,-1.921037198836586524e-01,-1.938593064365169427e-01,-1.956332981026621676e-01,-1.974257660295617445e-01,-1.992367771904698381e-01,-2.010663943043026203e-01,-2.029146757600068796e-01,-2.047816755456345339e-01,-2.066674431823147806e-01,-2.085720236633160640e-01,-2.104954573983637278e-01,-2.124377801633773322e-01,-2.143990230557706322e-01,-2.163792124554416718e-01,-2.183783699915707865e-01,-2.203965125153195537e-01,-2.224336520785128446e-01,-2.244897959183673741e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.801181145097411063e-01,-1.815759726549970587e-01,-1.830490947788527833e-01,-1.845375873809696476e-01,-1.860415551529409628e-01,-1.875611008940733238e-01,-1.890963254273408944e-01,-1.906473275156526648e-01,-1.922142037785730673e-01,-1.937970486096425304e-01,-1.953959540944441020e-01,-1.970110099295656614e-01,-1.986423033426100715e-01,-2.002899190134043717e-01,-2.019539389965625542e-01,-2.036344426455533596e-01,-2.053315065384295757e-01,-2.070452044053686658e-01,-2.087756070581778811e-01,-2.105227823219117389e-01,-2.122867949687524680e-01,-2.140677066542931439e-01,-2.158655758563698956e-01,-2.176804578165756343e-01,-2.195124044845916389e-01,-2.213614644654622321e-01,-2.232276829699363363e-01,-2.251111017679918724e-01,-2.270117591456508599e-01,-2.289296898651913548e-01,-2.308649251288495963e-01,-2.328174925460982925e-01,-2.347874161045858665e-01,-2.367747161448009452e-01,-2.387794093385295913e-01,-2.408015086711557950e-01,-2.428410234278488566e-01,-2.448979591836735192e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.011675322790795473e-01,-2.026828733247642289e-01,-2.042126586876450434e-01,-2.057569731377119626e-01,-2.073158997842895479e-01,-2.088895200158087384e-01,-2.104779134400333596e-01,-2.120811578248334994e-01,-2.136993290395970413e-01,-2.153325009973749427e-01,-2.169807455978548516e-01,-2.186441326712551536e-01,-2.203227299232393133e-01,-2.220166028809398284e-01,-2.237258148401910507e-01,-2.254504268140616330e-01,-2.271904974827803625e-01,-2.289460831451483047e-01,-2.307172376715238005e-01,-2.325040124584729639e-01,-2.343064563851686155e-01,-2.361246157716224148e-01,-2.379585343388313512e-01,-2.398082531709173626e-01,-2.416738106793330232e-01,-2.435552425692069090e-01,-2.454525818078961974e-01,-2.473658585958079525e-01,-2.492951003395511567e-01,-2.512403316274745002e-01,-2.532015742076388909e-01,-2.551788469682713112e-01,-2.571721659207418798e-01,-2.591815441850970902e-01,-2.612069919781835337e-01,-2.632485166043825320e-01,-2.653061224489795533e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.224218821015947201e-01,-2.239876202923198056e-01,-2.255670344317848020e-01,-2.271601925450716930e-01,-2.287671611673120498e-01,-2.303880053002945738e-01,-2.320227883695974436e-01,-2.336715721823051928e-01,-2.353344168853731266e-01,-2.370113809246978120e-01,-2.387025210049560364e-01,-2.404078920502721317e-01,-2.421275471657739486e-01,-2.438615376000970447e-01,-2.456099127088970935e-01,-2.473727199194258874e-01,-2.491500046962317749e-01,-2.509418105080365446e-01,-2.527481787958466009e-01,-2.545691489423491105e-01,-2.564047582426456917e-01,-2.582550418763726041e-01,-2.601200328812563467e-01,-2.619997621281487943e-01,-2.638942582975847273e-01,-2.658035478579061639e-01,-2.677276550449874115e-01,-2.696666018435996959e-01,-2.716204079704479524e-01,-2.735890908589097004e-01,-2.755726656455034229e-01,-2.775711451581113209e-01,-2.795845399059773140e-01,-2.816128580714987173e-01,-2.836561055038265833e-01,-2.857142857142856984e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
