0	0.477632
0.05	0.45445
0.1	0.433874
0.15	0.414579
0.2	0.396462
0.25	0.379433
0.3	0.363411
0.35	0.348325
0.4	0.334109
0.45	0.320704
0.5	0.308054
0.55	0.296111
0.6	0.284827
0.65	0.274161
0.7	0.264072
0.75	0.254526
0.8	0.245487
0.85	0.236926
0.9	0.228812
0.95	0.221119
1	0.213822
1.05	0.206898
1.1	0.200324
1.15	0.19408
1.2	0.188148
1.25	0.182509
1.3	0.177147
1.35	0.172047
1.4	0.167193
1.45	0.162574
1.5	0.158174
1.55	0.153984
1.6	0.149991
1.65	0.146185
1.7	0.142556
1.75	0.139095
1.8	0.135793
1.85	0.132642
1.9	0.129635
1.95	0.126763
2	0.12402
2.05	0.1214
2.1	0.118897
2.15	0.116505
2.2	0.114218
2.25	0.112032
2.3	0.109941
2.35	0.107942
2.4	0.10603
2.45	0.1042
2.5	0.102449
2.55	0.100774
2.6	0.0991709
2.65	0.0976367
2.7	0.0961682
2.75	0.0947627
2.8	0.0934174
2.85	0.0921298
2.9	0.0908974
2.95	0.0897179
3	0.0885892
3.05	0.0875092
3.1	0.0864759
3.15	0.0854876
3.2	0.0845424
3.25	0.0836387
3.3	0.082775
3.35	0.0819498
3.4	0.0811617
3.45	0.0804094
3.5	0.0796916
3.55	0.0790071
3.6	0.0783549
3.65	0.0777338
3.7	0.0771429
3.75	0.0765813
3.8	0.076048
3.85	0.0755423
3.9	0.0750633
3.95	0.0746104
4	0.0741827
4.05	0.0737798
4.1	0.0734009
4.15	0.0730455
4.2	0.0727131
4.25	0.0724032
4.3	0.0721153
4.35	0.0718491
4.4	0.071604
4.45	0.0713798
4.5	0.0711762
4.55	0.0709929
4.6	0.0708295
4.65	0.0706859
4.7	0.0705618
4.75	0.0704571
4.8	0.0703717
4.85	0.0703054
4.9	0.0702581
4.95	0.0702297
5	0.0702203
5.05	0.0702297
5.1	0.0702581
5.15	0.0703054
5.2	0.0703717
5.25	0.0704571
5.3	0.0705618
5.35	0.0706859
5.4	0.0708295
5.45	0.0709929
5.5	0.0711762
5.55	0.0713798
5.6	0.071604
5.65	0.0718491
5.7	0.0721153
5.75	0.0724032
5.8	0.0727131
5.85	0.0730455
5.9	0.0734009
5.95	0.0737798
6	0.0741827
6.05	0.0746104
6.1	0.0750633
6.15	0.0755423
6.2	0.076048
6.25	0.0765813
6.3	0.0771429
6.35	0.0777338
6.4	0.0783549
6.45	0.0790071
6.5	0.0796916
6.55	0.0804094
6.6	0.0811617
6.65	0.0819498
6.7	0.082775
6.75	0.0836387
6.8	0.0845424
6.85	0.0854876
6.9	0.0864759
6.95	0.0875092
7	0.0885892
7.05	0.0897179
7.1	0.0908974
7.15	0.0921298
7.2	0.0934174
7.25	0.0947627
7.3	0.0961682
7.35	0.0976367
7.4	0.0991709
7.45	0.100774
7.5	0.102449
7.55	0.1042
7.6	0.10603
7.65	0.107942
7.7	0.109941
7.75	0.112032
7.8	0.114218
7.85	0.116505
7.9	0.118897
7.95	0.1214
8	0.12402
8.05	0.126763
8.1	0.129635
8.15	0.132642
8.2	0.135793
8.25	0.139095
8.3	0.142556
8.35	0.146185
8.4	0.149991
8.45	0.153984
8.5	0.158174
8.55	0.162574
8.6	0.167193
8.65	0.172047
8.7	0.177147
8.75	0.182509
8.8	0.188148
8.85	0.19408
8.9	0.200324
8.95	0.206898
9	0.213822
9.05	0.221119
9.1	0.228812
9.15	0.236926
9.2	0.245487
9.25	0.254526
9.3	0.264072
9.35	0.274161
9.4	0.284827
9.45	0.296111
9.5	0.308054
9.55	0.320704
9.6	0.334109
9.65	0.348325
9.7	0.363411
9.75	0.379433
9.8	0.396462
9.85	0.414579
9.9	0.433874
9.95	0.45445
10	0.477632
